Rank,Title,Ticker,Industry,Sector,HQ Location,Years on list,CEO,EPS,Employees,Revenues,Profits,Image URL,Website,geoCode
205,Western Digital,WDC,Computer Peripherals,Technology,"Irvine, CA",12,Stephen D. Milligan,6.68,84072,15130,1617,https://fortunedotcom.files.wordpress.com/2015/05/westerndig_manufacturing-2.jpg?quality=80&w=462&h=260&crop=1,http://www.westerndigital.com,CA
206,FirstEnergy,FE,Utilities: Gas and Electric,Energy,"Akron, OH",20,Charles E. Jones,0.71,15557,15054,299,https://fortunedotcom.files.wordpress.com/2015/05/firstenergy_005.jpeg?quality=80&w=462&h=260&crop=1,http://www.firstenergycorp.com,OH
207,Aramark,ARMK,Diversified Outsourcing Services,Business Services,"Philadelphia, PA",21,Eric J. Foss,0.63,216000,14833,149,https://fortunedotcom.files.wordpress.com/2015/05/aramark0021.jpg?quality=80&w=462&h=260&crop=1,http://www.aramark.com,PA
208,DISH Network,DISH,Telecommunications,Telecommunications,"Englewood, CO",14,Charles W. Ergen,2.04,19000,14643,945,https://fortunedotcom.files.wordpress.com/2015/05/ap313785612765.jpg?quality=80&w=462&h=260&crop=1,http://www.dish.com,CO
209,Las Vegas Sands,LVS,"Hotels, Casinos, Resorts","Hotels, Resturants & Leisure","Las Vegas, NV",6,Sheldon G. Adelson,3.52,48500,14584,2841,https://fortunedotcom.files.wordpress.com/2015/05/466459056.jpg?quality=80&w=840&h=485&crop=1,http://www.sands.com,NV
210,Kellogg,K,Food Consumer Products,"Food, Beverages & Tobacco","Battle Creek, MI",21,John A. Bryant,1.75,29790,14580,632,https://fortunedotcom.files.wordpress.com/2015/05/463184076.jpg?quality=80&w=840&h=485&crop=1,http://www.kelloggcompany.com,MI
211,Loews,L,Insurance: Property and Casualty (Stock),Financials,"New York, NY",21,James S. Tisch,1.55,17510,14572,591,https://fortunedotcom.files.wordpress.com/2015/05/loews463023139.jpg?quality=80&w=462&h=260&crop=1,http://www.loews.com,NY
212,CBS,CBS,Entertainment,Media,"New York, NY",21,Leslie Moonves,5.27,20125,14483,2959,https://fortunedotcom.files.wordpress.com/2015/05/463694134.jpg?quality=80&w=462&h=260&crop=1,http://www.cbscorporation.com,NY
213,Ecolab,ECL,Chemicals,Chemicals,"St. Paul, MN",13,Douglas M. Baker Jr.,3.93,47430,14281,1203,https://fortunedotcom.files.wordpress.com/2015/05/ecolab0081.jpg?quality=80&w=462&h=260&crop=1,http://www.ecolab.com,MN
214,Whole Foods Market,WFM,Food and Drug Stores,Food & Drug Stores,"Austin, TX",11,"John P. Mackey, Walter Robb",1.56,72650,14194,579,https://fortunedotcom.files.wordpress.com/2015/05/wholefoods458588552.jpg?quality=80&w=462&h=260&crop=1,http://www.wholefoodsmarket.com,TX
215,Chubb,CB,Insurance: Property and Casualty (Stock),Financials,"Warren, NJ",21,John D. Finnegan,8.62,10200,14098,2100,https://fortunedotcom.files.wordpress.com/2015/05/dsc_1130.jpeg?quality=80&w=462&h=260&crop=1,http://www.chubb.com,NJ
216,Health Net,HNT,Health Care: Insurance and Managed Care,Health Care,"Woodland Hills, CA",21,Jay M. Gellert,1.8,7968,14009,146,https://fortunedotcom.files.wordpress.com/2015/05/healthnet0041.jpg?quality=80&w=462&h=260&crop=1,http://www.healthnet.com,CA
217,Waste Management,WM,Waste Management,Business Services,"Houston, TX",17,David P. Steiner,2.79,39800,13996,1298,https://fortunedotcom.files.wordpress.com/2015/05/for06_a.jpg?quality=80&w=840&h=485&crop=1,http://www.wm.com,TX
218,Apache,APA,"Mining, Crude-Oil Production",Energy,"Houston, TX",12,John J. Christmann IV,-14.06,4950,13938,-5403,https://fortunedotcom.files.wordpress.com/2015/05/apache_egypt_salam_05.jpeg?quality=80&w=462&h=260&crop=1,http://www.apachecorp.com,TX
219,Textron,TXT,Aerospace and Defense,Aerospace & Defense,"Providence, RI",21,Scott C. Donnelly,2.13,34000,13878,600,https://fortunedotcom.files.wordpress.com/2015/05/textron456028142.jpg?quality=80&w=462&h=260&crop=1,http://www.textron.com,RI
220,Synnex,SNX,Wholesalers: Electronics and Office Equipment,Wholesalers,"Fremont, CA",9,Kevin M. Murai,4.57,64000,13840,180,https://fortunedotcom.files.wordpress.com/2015/05/synnex-image-for-kevin_3-0.jpg?quality=80&w=462&h=260&crop=1,http://www.synnex.com,CA
221,Marriott International,MAR,"Hotels, Casinos, Resorts","Hotels, Resturants & Leisure","Bethesda, MD",17,Arne M. Sorenson,2.54,123500,13796,753,https://fortunedotcom.files.wordpress.com/2015/05/marritottliving_room_evening_6777.jpg?quality=80&w=462&h=260&crop=1,http://www.marriott.com,MD
222,Viacom,VIAB,Entertainment,Media,"New York, NY",10,Philippe P. Dauman,5.43,10140,13783,2391,https://fortunedotcom.files.wordpress.com/2015/05/viacom0071.jpg?quality=80&w=462&h=260&crop=1,http://www.viacom.com,NY
223,Lincoln National,LNC,"Insurance: Life, Health (stock)",Financials,"Radnor, PA",21,Dennis R. Glass,5.67,9627,13554,1515,https://fortunedotcom.files.wordpress.com/2015/05/lincolnfinancial010.jpg?quality=80&w=462&h=260&crop=1,http://www.lfg.com,PA
224,Nordstrom,JWN,General Merchandisers,Retailing,"Seattle, WA",21,Blake W. Nordstrom,3.72,67000,13506,720,https://fortunedotcom.files.wordpress.com/2015/05/nordstrom_the-woodlands_-womens-shoes.jpg?quality=80&w=462&h=260&crop=1,http://www.nordstrom.com,WA
225,C.H. Robinson Worldwide,CHRW,Transportation and Logistics,Transportation,"Eden Prairie, MN",14,John P. Wiehoff,3.05,11521,13470,450,https://fortunedotcom.files.wordpress.com/2015/05/c-h-robinson-intermodal-containers1.jpg?quality=80&w=462&h=260&crop=1,http://www.chrobinson.com,MN
226,Edison International,EIX,Utilities: Gas and Electric,Energy,"Rosemead, CA",21,Theodore F. Craver Jr.,4.89,13690,13413,1612,https://fortunedotcom.files.wordpress.com/2015/05/edisonintl0051.jpg?quality=80&w=462&h=260&crop=1,http://www.edisoninvestor.com,CA
227,Marathon Oil,MRO,"Mining, Crude-Oil Production",Energy,"Houston, TX",21,Lee M. Tillman,4.46,3330,13297,3046,https://fortunedotcom.files.wordpress.com/2015/05/8287896719_c201875ffc_b.jpeg?quality=80&w=462&h=260&crop=1,http://www.marathonoil.com,TX
228,Yum Brands,YUM,Food Services,"Hotels, Resturants & Leisure","Louisville, KY",17,Greg Creed,2.32,303405,13279,1051,https://fortunedotcom.files.wordpress.com/2015/05/yumbrands0021.jpg?quality=80&w=462&h=260&crop=1,http://www.yum.com,KY
229,Computer Sciences,CSC,Information Technology Services,Technology,"Falls Church, VA",21,J. Michael Lawrie,4.47,79000,13233,674,https://fortunedotcom.files.wordpress.com/2015/05/computersciences_corporate-headquarters_falls-church-va.jpg?quality=80&w=462&h=260&crop=1,http://www.csc.com,VA
230,Parker-Hannifin,PH,Industrial Machinery,Industrials,"Cleveland, OH",21,Thomas L. Williams,6.87,57450,13216,1041,https://fortunedotcom.files.wordpress.com/2015/05/parkerhannifin_global-hawk.jpg?quality=80&w=462&h=260&crop=1,http://www.parker.com,OH
231,DaVita HealthCare Partners,DVA,Health Care: Medical Facilities,Health Care,"Denver, CO",9,Kent J. Thiry,3.33,57900,13162,723,https://fortunedotcom.files.wordpress.com/2015/05/davitahealthcare003.jpg?quality=80&w=462&h=260&crop=1,http://www.davita.com,CO
232,CarMax,KMX,"Automotive Retailing, Services",Retailing,"Richmond, VA",12,Thomas J. Folliard,2.16,20171,13122,493,https://fortunedotcom.files.wordpress.com/2015/05/carmax1817386261.jpg?quality=80&w=462&h=260&crop=1,http://www.carmax.com,VA
233,Texas Instruments,TXN,Semiconductors and Other Electronic Components,Technology,"Dallas, TX",21,Richard K. Templeton,2.57,31003,13045,2821,https://fortunedotcom.files.wordpress.com/2015/05/texasinstruments_rfab1.jpg?quality=80&w=462&h=260&crop=1,http://www.ti.com,TX
234,WellCare Health Plans,WCG,Health Care: Insurance and Managed Care,Health Care,"Tampa, FL",7,Kenneth A. Burdick,1.44,6700,12960,64,https://fortunedotcom.files.wordpress.com/2015/06/wellcare-gloria-2.png?w=462&h=260&crop=1,http://www.wellcare.com,FL
235,Marsh & McLennan,MMC,Diversified Financials,Financials,"New York, NY",21,Daniel S. Glaser,2.65,57000,12951,1465,https://fortunedotcom.files.wordpress.com/2015/05/img_1124_5x7.jpg?quality=80&w=462&h=260&crop=1,http://www.mmc.com,NY
236,Consolidated Edison,ED,Utilities: Gas and Electric,Energy,"New York, NY",21,John McAvoy,3.71,14601,12919,1092,https://fortunedotcom.files.wordpress.com/2015/05/con_edison_04.jpg?quality=80&w=462&h=260&crop=1,http://www.conedison.com,NY
237,Oneok,OKE,Pipelines,Energy,"Tulsa, OK",13,Terry K. Spencer,1.49,2269,12836,314,https://fortunedotcom.files.wordpress.com/2015/05/oneokpartners_montbelvieu1.jpg?quality=80&w=462&h=260&crop=1,http://www.oneok.com,OK
238,Visa,V,Financial Data Services,Business Services,"Foster City, CA",7,Charles W. Scharf,-,9500,12702,5438,https://fortunedotcom.files.wordpress.com/2015/05/ap732018605174.jpg?quality=80&w=840&h=485&crop=1,http://www.visa.com,CA
239,Jacobs Engineering Group,JEC,"Engineering, Construction",Engineering & Construction,"Pasadena, CA",15,Steven J. Demetriou,2.48,59900,12695,328,https://fortunedotcom.files.wordpress.com/2015/05/jacobsengineering_mining1.jpg?quality=80&w=462&h=260&crop=1,http://www.jacobs.com,CA
240,CSX,CSX,Railroads,Transportation,"Jacksonville, FL",21,Michael J. Ward,1.92,31511,12669,1927,https://fortunedotcom.files.wordpress.com/2015/05/csx.jpg?quality=80&w=840&h=485&crop=1,http://www.csx.com,FL
241,Entergy,ETR,Utilities: Gas and Electric,Energy,"New Orleans, LA",21,Leo P. Denault,5.22,13393,12495,941,https://fortunedotcom.files.wordpress.com/2015/06/entergy002.jpg?quality=80&w=462&h=260&crop=1,http://www.entergy.com,LA
242,Facebook,FB,Internet Services and Retailing,Technology,"Menlo Park, CA",3,Mark Zuckerberg,1.1,9199,12466,2940,https://fortunedotcom.files.wordpress.com/2015/05/gettyimages-467498748.jpg?quality=80&w=840&h=485&crop=1,http://www.facebook.com,CA
243,Dominion Resources,D,Utilities: Gas and Electric,Energy,"Richmond, VA",21,Thomas F. Farrell II,2.24,14400,12436,1310,https://fortunedotcom.files.wordpress.com/2015/05/dominionresources0111.jpg?quality=80&w=462&h=260&crop=1,http://www.dom.com,VA
244,Leucadia National,LUK,Food Production,"Food, Beverages & Tobacco","New York, NY",3,Richard B. Handler,0.54,13082,12407,208,https://fortunedotcom.files.wordpress.com/2015/05/jefferies_sign.jpg?quality=80&w=462&h=260&crop=1,http://www.leucadia.com,NY
245,Toys “R” Us,,Specialty Retailers: Other,Retailing,"Wayne, NJ",21,Antonio Urcelay,-,66000,12361,-292,https://fortunedotcom.files.wordpress.com/2015/05/toysrus460602518.jpg?quality=80&w=462&h=260&crop=1,http://www.toysrusinc.com,NJ
246,DTE Energy,DTE,Utilities: Gas and Electric,Energy,"Detroit, MI",21,Gerard M. Anderson,5.1,10000,12301,905,https://fortunedotcom.files.wordpress.com/2015/05/dteenergy451556950.jpg?quality=80&w=462&h=260&crop=1,http://www.dteenergy.com,MI
247,Ameriprise Financial,AMP,Diversified Financials,Financials,"Minneapolis, MN",9,James M. Cracchiolo,8.3,12209,12296,1619,https://fortunedotcom.files.wordpress.com/2015/05/hq-building-2.jpg?quality=80&w=462&h=260&crop=1,http://www.ameriprise.com,MN
248,VF,VFC,Apparel,Apparel,"Greensboro, NC",21,Eric C. Wiseman,2.38,59697,12282,1048,https://fortunedotcom.files.wordpress.com/2015/05/vans_sp15_oldskool_u_02.jpg?quality=80&w=462&h=260&crop=1,http://www.vfc.com,NC
249,Praxair,PX,Chemicals,Chemicals,"Danbury, CT",21,Stephen F. Angel,5.73,27780,12273,1694,https://fortunedotcom.files.wordpress.com/2015/05/praxair0021.jpg?quality=80&w=462&h=260&crop=1,http://www.praxair.com,CT
250,J.C. Penney,JCP,General Merchandisers,Retailing,"Plano, TX",21,Marvin R. Ellison,-2.53,114000,12257,-771,https://fortunedotcom.files.wordpress.com/2015/05/jcpenny474861695.jpg?quality=80&w=462&h=260&crop=1,http://www.jcpenney.com,TX
251,Automatic Data Processing,ADP,Diversified Outsourcing Services,Business Services,"Roseland, NJ",21,Carlos A. Rodriguez,3.14,61000,12220,1516,https://fortunedotcom.files.wordpress.com/2015/05/automatic-data-processing.jpg?quality=80&w=462&h=260&crop=1,http://www.adp.com,NJ
252,L-3 Communications,LLL,Aerospace and Defense,Aerospace & Defense,"New York, NY",13,Michael T. Strianese,7.56,45000,12124,664,https://fortunedotcom.files.wordpress.com/2015/05/l30071.jpg?quality=80&w=462&h=260&crop=1,http://www.l-3com.com,NY
253,CDW,CDW,Information Technology Services,Technology,"Vernon Hills, IL",11,Thomas E. Richards,1.42,7211,12075,245,https://fortunedotcom.files.wordpress.com/2015/05/cdw_20120106-img_3700.jpg?quality=80&w=462&h=260&crop=1,http://www.cdw.com,IL
254,Guardian Life Ins. Co. of America,,"Insurance: Life, Health (Mutual)",Financials,"New York, NY",21,Deanna M. Mulligan,-,5000,11909,445,https://fortunedotcom.files.wordpress.com/2015/05/guardianlifeberkshire.jpg?quality=80&w=462&h=260&crop=1,http://www.guardianlife.com,NY
255,Xcel Energy,XEL,Utilities: Gas and Electric,Energy,"Minneapolis, MN",19,Benjamin G.S. Fowke III,2.03,11640,11686,1021,https://fortunedotcom.files.wordpress.com/2015/05/xcel0031.jpg?quality=80&w=462&h=260&crop=1,http://www.xcelenergy.com,MN
256,Norfolk Southern,NSC,Railroads,Transportation,"Norfolk, VA",21,James A. Squires,6.39,29482,11624,2000,https://fortunedotcom.files.wordpress.com/2015/05/norfolksouthern0061.jpg?quality=80&w=462&h=260&crop=1,http://www.nscorp.com,VA
257,PPL,PPL,Utilities: Gas and Electric,Energy,"Allentown, PA",21,William H. Spence,2.61,17391,11616,1737,https://fortunedotcom.files.wordpress.com/2015/05/ppl_uk_reliability.jpg?quality=80&w=462&h=260&crop=1,http://www.pplweb.com,PA
258,R.R. Donnelley & Sons,RRD,"Publishing, Printing",Media,"Chicago, IL",21,Thomas J. Quinlan III,0.59,68000,11603,117,https://fortunedotcom.files.wordpress.com/2015/05/ap761050778923.jpg?quality=80&w=840&h=485&crop=1,http://www.rrdonnelley.com,IL
259,Huntsman,HUN,Chemicals,Chemicals,"Salt Lake City, UT",10,Peter R. Huntsman,1.31,16000,11578,323,https://fortunedotcom.files.wordpress.com/2015/06/huntsmanimage1.jpeg?quality=80&w=462&h=260&crop=1,http://www.huntsman.com,UT
260,Bed Bath & Beyond,BBBY,Specialty Retailers: Other,Retailing,"Union, NJ",12,Steven H. Temares,4.79,58000,11504,1022,https://fortunedotcom.files.wordpress.com/2015/05/bedbathbeyond1662306161.jpg?quality=80&w=462&h=260&crop=1,http://www.bedbathandbeyond.com,NJ
261,Stanley Black & Decker,SWK,"Home Equipment, Furnishings",Household Products,"New Britain, CT",8,John F. Lundgren,4.76,50400,11457,761,https://fortunedotcom.files.wordpress.com/2015/05/stanleyblackanddecker1858305151.jpg?quality=80&w=462&h=260&crop=1,http://www.stanleyblackanddecker.com,CT
262,L Brands,LB,Specialty Retailers: Apparel,Retailing,"Columbus, OH",21,Leslie H. Wexner,3.5,50150,11454,1042,https://fortunedotcom.files.wordpress.com/2015/05/l-brands-459985370.jpg?quality=80&w=462&h=260&crop=1,http://www.lb.com,OH
263,Liberty Interactive,QVCA,Internet Services and Retailing,Technology,"Englewood, CO",11,Gregory B. Maffei,-,20078,11382,537,https://fortunedotcom.files.wordpress.com/2015/05/libertyinteractive_qvc-studio-park-broadcast-control-room.jpg?quality=80&w=462&h=260&crop=1,http://www.libertyinteractive.com,CO
264,Farmers Insurance Exchange,,Insurance: Property and Casualty (Mutual),Financials,"Woodland Hills, CA",1,Jeffrey J. Dailey,-,13530,11318,3,https://fortunedotcom.files.wordpress.com/2015/05/farmersinsurancertr4oedv.jpg?quality=80&w=462&h=260&crop=1,http://www.farmers.com,CA
265,First Data,FDC,Financial Data Services,Business Services,"Atlanta, GA",21,Frank J. Bisignano,-,22655,11152,-458,https://fortunedotcom.files.wordpress.com/2015/05/firstdata003.jpg?quality=80&w=462&h=260&crop=1,http://www.firstdata.com,GA
266,Sherwin-Williams,SHW,Chemicals,Chemicals,"Cleveland, OH",21,John G. Morikis,8.78,39674,11130,866,https://fortunedotcom.files.wordpress.com/2015/05/sherwinw13081050.jpg?quality=80&w=462&h=260&crop=1,http://www.sherwin.com,OH
267,BlackRock,BLK,Securities,Financials,"New York, NY",8,Laurence D. Fink,19.25,12200,11081,3294,https://fortunedotcom.files.wordpress.com/2015/05/blackrock_4379_mc_blkticker_f.jpg?quality=80&w=462&h=260&crop=1,http://www.blackrock.com,NY
268,Voya Financial,VOYA,"Insurance: Life, Health (stock)",Financials,"New York, NY",1,Rodney O. Martin Jr.,9.02,6500,11071,2300,https://fortunedotcom.files.wordpress.com/2015/05/voyafinancial0031.jpg?quality=80&w=462&h=260&crop=1,http://www.voya.com,NY
269,Ross Stores,ROST,Specialty Retailers: Apparel,Retailing,"Dublin, CA",13,Barbara Rentler,4.42,71400,11042,925,https://fortunedotcom.files.wordpress.com/2015/05/gettyimages-535059145.jpg?quality=80&w=840&h=485&crop=1,http://www.rossstores.com,CA
270,Sempra Energy,SRE,Utilities: Gas and Electric,Energy,"San Diego, CA",17,Debra L. Reed,4.63,17046,11035,1161,https://fortunedotcom.files.wordpress.com/2015/05/sempraenergy.jpg?quality=80&w=462&h=260&crop=1,http://www.sempra.com,CA
271,Estee Lauder,EL,Household and Personal Products,Household Products,"New York, NY",20,Fabrizio Freda,3.06,42400,10969,1204,https://fortunedotcom.files.wordpress.com/2015/05/esteelauderrtr3eg3b1.jpg?quality=80&w=462&h=260&crop=1,http://www.elcompanies.com,NY
272,H.J. Heinz,,Food Consumer Products,"Food, Beverages & Tobacco","Pittsburgh, PA",21,Bernardo Hees,-,24500,10922,657,https://fortunedotcom.files.wordpress.com/2015/05/heinz467496314.jpg?quality=80&w=462&h=260&crop=1,http://www.heinz.com,PA
273,Reinsurance Group of America,RGA,"Insurance: Life, Health (stock)",Financials,"Chesterfield, MO",6,A. Greig Woodring,9.78,2070,10904,684,https://fortunedotcom.files.wordpress.com/2015/05/renaissancegroup0011.jpg?quality=80&w=462&h=260&crop=1,http://www.rgare.com,MO
274,Public Service Enterprise Group,PEG,Utilities: Gas and Electric,Energy,"Newark, NJ",21,Ralph Izzo,2.99,12689,10886,1518,https://fortunedotcom.files.wordpress.com/2015/06/pseg008.jpg?quality=80&w=462&h=260&crop=1,http://www.pseg.com,NJ
275,Cameron International,CAM,"Oil and Gas Equipment, Services",Energy,"Houston, TX",8,R. Scott Rowe,3.96,28000,10809,811,https://fortunedotcom.files.wordpress.com/2015/05/cameron1.jpg?quality=80&w=462&h=260&crop=1,http://www.c-a-m.com,TX
276,Navistar International,NAV,Motor Vehicles and Parts,Motor Vehicles & Parts,"Lisle, IL",19,Troy A. Clarke,-7.6,14800,10806,-619,https://fortunedotcom.files.wordpress.com/2015/05/navistar0031.jpg?quality=80&w=462&h=260&crop=1,http://www.navistar.com,IL
277,CST Brands,CST,Specialty Retailers: Other,Retailing,"San Antonio, TX",2,Kimberly S. Lubel,2.63,11099,10777,200,https://fortunedotcom.files.wordpress.com/2015/06/cstbrands_img_7474.jpg?quality=80&w=462&h=260&crop=1,http://www.cstbrands.com,TX
278,State Street Corp.,STT,Commercial Banks,Financials,"Boston, MA",20,Joseph L. Hooley,4.57,29970,10687,2037,https://fortunedotcom.files.wordpress.com/2015/05/statestreet_200924_0078-hdr-fpo.jpg?quality=80&w=462&h=260&crop=1,http://www.statestreet.com,MA
279,Unum Group,UNM,"Insurance: Life, Health (stock)",Financials,"Chattanooga, TN",20,Richard P. McKenney,1.61,9500,10510,413,https://fortunedotcom.files.wordpress.com/2015/05/unum_cm1p1570.jpg?quality=80&w=462&h=260&crop=1,http://www.unum.com,TN
280,Hilton Worldwide Holdings,HLT,"Hotels, Casinos, Resorts","Hotels, Resturants & Leisure","McLean, VA",12,Christopher J. Nassetta,0.68,157000,10502,673,https://fortunedotcom.files.wordpress.com/2015/05/biltmoresuite_fp.jpg?quality=80&w=462&h=260&crop=1,http://www.hiltonworldwide.com,VA
281,Family Dollar Stores,FDO,General Merchandisers,Retailing,"Matthews, NC",14,Howard R. Levine,2.49,47500,10489,285,https://fortunedotcom.files.wordpress.com/2015/05/familydollar461397561.jpg?quality=80&w=462&h=260&crop=1,http://www.familydollar.com,NC
282,Principal Financial,PFG,"Insurance: Life, Health (stock)",Financials,"Des Moines, IA",21,Daniel J. Houston,3.65,14873,10478,1144,https://fortunedotcom.files.wordpress.com/2015/05/principal-financial_0.jpeg?quality=80&w=462&h=260&crop=1,http://www.principal.com,IA
283,Reliance Steel & Aluminum,RS,Metals,Materials,"Los Angeles, CA",9,Gregg J. Mollins,4.73,14900,10452,372,https://fortunedotcom.files.wordpress.com/2015/05/reliancesteelaluminum0021.jpg?quality=80&w=462&h=260&crop=1,http://www.rsac.com,CA
284,Air Products & Chemicals,APD,Chemicals,Chemicals,"Allentown, PA",21,Seifi Ghasemi,4.61,21050,10448,992,https://fortunedotcom.files.wordpress.com/2015/05/ap004444.jpg?quality=80&w=840&h=485&crop=1,http://www.airproducts.com,PA
285,Assurant,AIZ,Insurance: Property and Casualty (Stock),Financials,"New York, NY",11,Alan B. Colberg,6.44,17379,10382,471,https://fortunedotcom.files.wordpress.com/2015/05/assurant-callcenter.jpg?quality=80&w=840&h=485&crop=1,http://www.assurant.com,NY
286,Peter Kiewit Sons’,,"Engineering, Construction",Engineering & Construction,"Omaha, NE",16,Bruce E. Grewcock,-,25700,10380,350,https://fortunedotcom.files.wordpress.com/2015/05/peterkiewitsons0011.jpg?quality=80&w=462&h=260&crop=1,http://www.kiewit.com,NE
287,Henry Schein,HSIC,Wholesalers: Health Care,Wholesalers,"Melville, NY",12,Stanley M. Bergman,5.44,17500,10371,466,https://fortunedotcom.files.wordpress.com/2015/05/henry-schein-brand-product.jpg?quality=80&w=462&h=260&crop=1,http://www.henryschein.com,NY
288,Cognizant Technology Solutions,CTSH,Information Technology Services,Technology,"Teaneck, NJ",5,Francisco D'Souza,2.35,211500,10263,1439,https://fortunedotcom.files.wordpress.com/2015/06/cognizant005.jpg?quality=80&w=462&h=260&crop=1,http://www.cognizant.com,NJ
289,MGM Resorts International,MGM,"Hotels, Casinos, Resorts","Hotels, Resturants & Leisure","Las Vegas, NV",15,James J. Murren,-0.31,60100,10082,-150,https://fortunedotcom.files.wordpress.com/2015/05/bellagioexterior3.jpg?quality=80&w=462&h=260&crop=1,http://www.mgmresorts.com,NV
290,W.W. Grainger,GWW,Wholesalers: Diversified,Wholesalers,"Lake Forest, IL",21,James T. Ryan,11.45,22950,9965,802,https://fortunedotcom.files.wordpress.com/2015/05/minooka-59.jpg?quality=80&w=840&h=485&crop=1,http://www.grainger.com,IL
291,Group 1 Automotive,GPI,"Automotive Retailing, Services",Retailing,"Houston, TX",15,Earl J. Hesterberg,3.6,11978,9938,93,https://fortunedotcom.files.wordpress.com/2015/05/group-1-auto.jpg?quality=80&w=462&h=260&crop=1,http://www.group1auto.com,TX
292,BB&T Corp.,BBT,Commercial Banks,Financials,"Winston-Salem, NC",17,Kelly S. King,2.75,33400,9926,2151,https://fortunedotcom.files.wordpress.com/2015/05/bbt458812970.jpg?quality=80&w=462&h=260&crop=1,http://www.bbt.com,NC
293,WestRock,WRK,"Packaging, Containers",Materials,"Norcross, GA",4,Steven C. Voorhees,3.29,26600,9895,480,https://fortunedotcom.files.wordpress.com/2015/06/rock-tennclairemont9721.jpg?quality=80&w=462&h=260&crop=1,http://www.westrock.com,GA
294,Advance Auto Parts,AAP,Specialty Retailers: Other,Retailing,"Roanoke, VA",13,George E. Sherman,6.71,57300,9844,494,https://fortunedotcom.files.wordpress.com/2015/05/advanceteammember2.jpg?quality=80&w=462&h=260&crop=1,http://www.advanceautoparts.com,VA
295,Ally Financial,ALLY,Commercial Banks,Financials,"Detroit, MI",8,Jeffrey J. Brown,1.83,6900,9790,1150,https://fortunedotcom.files.wordpress.com/2015/06/allyfinancial005.jpg?quality=80&w=462&h=260&crop=1,http://www.ally.com,MI
296,AGCO,AGCO,Construction and Farm Machinery,Industrials,"Duluth, GA",14,Martin H. Richenhagen,4.36,20828,9724,410,https://fortunedotcom.files.wordpress.com/2015/05/agco_-fendt_-manufacturing-jpeg1.jpg?quality=80&w=462&h=260&crop=1,http://www.agcocorp.com,GA
297,Corning,GLW,Network and Other Communications Equipment,Technology,"Corning, NY",20,Wendell P. Weeks,1.73,34600,9715,2472,https://fortunedotcom.files.wordpress.com/2015/05/corning0011.jpg?quality=80&w=462&h=260&crop=1,http://www.corning.com,NY
298,Biogen,BIIB,Pharmaceuticals,Health Care,"Cambridge, MA",6,George A. Scangos,12.37,7550,9703,2935,https://fortunedotcom.files.wordpress.com/2015/05/biogen.jpg?quality=80&w=840&h=485&crop=1,http://www.biogen.com,MA
299,NGL Energy Partners,NGL,Wholesalers: Diversified,Wholesalers,"Tulsa, OK",1,H. Michael Krimbill,0.51,2500,9699,48,https://fortunedotcom.files.wordpress.com/2015/06/nglphoto-1.jpg?quality=80&w=462&h=260&crop=1,http://www.nglenergypartners.com,OK
300,Stryker,SYK,Medical Products and Equipment,Health Care,"Kalamazoo, MI",13,Kevin A. Lobo,1.34,26000,9675,515,https://fortunedotcom.files.wordpress.com/2015/06/stryker.jpeg?quality=80&w=462&h=260&crop=1,http://www.stryker.com,MI
301,Molina Healthcare,MOH,Health Care: Insurance and Managed Care,Health Care,"Long Beach, CA",4,Joseph M. Molina,1.29,10500,9667,62,https://fortunedotcom.files.wordpress.com/2015/05/molinahealthcare120623healthfair41sjg-1923727119-o.jpg?quality=80&w=462&h=260&crop=1,http://www.molinahealthcare.com,CA
302,Precision Castparts,PCP,Aerospace and Defense,Aerospace & Defense,"Portland, OR",8,Mark Donegan,12.12,29085,9640,1777,https://fortunedotcom.files.wordpress.com/2015/06/5f00s_iso-copy.jpg?quality=80&w=840&h=485&crop=1,http://www.precast.com,OR
303,Discover Financial Services,DFS,Commercial Banks,Financials,"Riverwoods, IL",7,David W. Nelms,4.9,14676,9611,2323,https://fortunedotcom.files.wordpress.com/2015/05/discoiver_02_handoff-it_a01.jpg?quality=80&w=462&h=260&crop=1,http://www.discoverfinancial.com,IL
304,Genworth Financial,GNW,"Insurance: Life, Health (stock)",Financials,"Richmond, VA",10,Thomas J. McInerney,-2.51,5300,9565,-1244,https://fortunedotcom.files.wordpress.com/2015/05/genworth-building-5_06_1501.jpg?quality=80&w=462&h=260&crop=1,http://www.genworth.com,VA
305,Eastman Chemical,EMN,Chemicals,Chemicals,"Kingsport, TN",21,Mark J. Costa,4.97,15000,9527,751,https://fortunedotcom.files.wordpress.com/2015/05/eastman_tritan-product1.jpg?quality=80&w=462&h=260&crop=1,http://www.eastman.com,TN
306,Dean Foods,DF,Food Consumer Products,"Food, Beverages & Tobacco","Dallas, TX",17,Gregg A. Tanner,-0.22,17246,9503,-20,https://fortunedotcom.files.wordpress.com/2015/05/deanfoods_dairypure-41.jpg?quality=80&w=462&h=260&crop=1,http://www.deanfoods.com,TX
307,AutoZone,AZO,Specialty Retailers: Other,Retailing,"Memphis, TN",17,William C. Rhodes III,31.57,59660,9475,1070,https://fortunedotcom.files.wordpress.com/2015/05/autozone_autozone-de-mexico.jpg?quality=80&w=462&h=260&crop=1,http://www.autozone.com,TN
