Rank,Title,Ticker,Industry,Sector,HQ Location,Years on list,CEO,EPS,Employees,Revenues,Profits,Image URL,Website,geoCode
73,Delta Air Lines,DAL,Airlines,Transportation,"Atlanta, GA",21,Richard H. Anderson,0.78,79655,40362,659,https://fortunedotcom.files.wordpress.com/2015/05/delta.jpg?quality=80&w=840&h=485&crop=1,http://www.delta.com,GA
74,Honeywell International,HON,"Electronics, Electrical Equip.",Industrials,"Morris Township, NJ",21,David M. Cote,5.33,127000,40306,4239,https://fortunedotcom.files.wordpress.com/2015/05/honeywell.jpg?quality=80&w=840&h=485&crop=1,http://www.honeywell.com,NJ
75,HCA Holdings,HCA,Health Care: Medical Facilities,Health Care,"Nashville, TN",21,R. Milton Johnson,4.16,197000,40087,1875,https://fortunedotcom.files.wordpress.com/2015/05/hca-holdings.jpg?quality=80&w=462&h=263&crop=1,http://www.hcahealthcare.com,TN
76,Goldman Sachs Group,GS,Commercial Banks,Financials,"New York, NY",16,Lloyd C. Blankfein,17.07,34000,40085,8477,https://fortunedotcom.files.wordpress.com/2015/05/goldmansachs.jpg?quality=80&w=840&h=485&crop=1,http://www.gs.com,NY
77,Tesoro,TSO,Petroleum Refining,Energy,"San Antonio, TX",16,Gregory J. Goff,6.44,5641,40052,843,https://fortunedotcom.files.wordpress.com/2015/05/gettyimages-535060591.jpg?quality=80&w=840&h=485&crop=1,http://www.tsocorp.com,TX
78,Liberty Mutual Insurance Group,LIBERTY-MUTUAL-INSURANCE-GROUP,Insurance: Property and Casualty (Stock),Financials,"Boston, MA",21,David H. Long,-,50000,39796,1833,https://fortunedotcom.files.wordpress.com/2015/05/150070640.jpg?quality=80&w=840&h=485&crop=1,http://www.libertymutual.com,MA
79,United Continental Holdings,UAL,Airlines,Transportation,"Chicago, IL",21,Brett J. Hart,2.93,84000,38901,1132,https://fortunedotcom.files.wordpress.com/2015/05/united.jpg?quality=80&w=462&h=263&crop=1,http://www.unitedcontinentalholdings.com,IL
80,New York Life Insurance,NEW-YORK-LIFE-INSURANCE,"Insurance: Life, Health (Mutual)",Financials,"New York, NY",21,Theodore A. Mathas,-,11563,38680,1602,https://fortunedotcom.files.wordpress.com/2015/05/new-york-life-2.jpeg?quality=80&w=462&h=260&crop=1,http://www.newyorklife.com,NY
81,Oracle,ORCL,Computer Software,Technology,"Redwood City, CA",20,Safra A. Catz,2.38,122000,38275,10955,https://fortunedotcom.files.wordpress.com/2015/06/gettyimages-460559836.jpg?quality=80&w=840&h=485&crop=1,http://www.oracle.com,CA
82,Morgan Stanley,MS,Commercial Banks,Financials,"New York, NY",21,James P. Gorman,1.6,55802,37953,3467,https://fortunedotcom.files.wordpress.com/2015/06/morgan-stanley.jpg?quality=80&w=462&h=260&crop=1,http://www.morganstanley.com,NY
83,Tyson Foods,TSN,Food Production,"Food, Beverages & Tobacco","Springdale, AR",21,Donnie Smith,2.37,124000,37580,864,https://fortunedotcom.files.wordpress.com/2015/05/tyson-foods.jpg?quality=80&w=462&h=260&crop=1,http://www.tysonfoods.com,AR
84,Safeway,SWY,Food and Drug Stores,Food & Drug Stores,"Pleasanton, CA",21,Robert G. Miller,0.48,137000,36643,113,https://fortunedotcom.files.wordpress.com/2015/05/safeway.jpg?quality=80&w=462&h=263&crop=1,http://www.safeway.com,CA
85,Nationwide,NATIONWIDE,Insurance: Property and Casualty (Mutual),Financials,"Columbus, OH",21,Stephen S. Rasmussen,-,33672,36257,432,https://fortunedotcom.files.wordpress.com/2015/06/nationwide.jpg?quality=80&w=462&h=263&crop=1,http://www.nationwide.com,OH
86,Deere,DE,Construction and Farm Machinery,Industrials,"Moline, IL",21,Samuel R. Allen,8.63,59623,36067,3162,https://fortunedotcom.files.wordpress.com/2015/06/deere.jpg?quality=80&w=462&h=263&crop=1,http://www.johndeere.com,IL
87,DuPont,DD,Chemicals,Chemicals,"Wilmington, DE",21,Edward Breen,3.92,63000,36046,3625,https://fortunedotcom.files.wordpress.com/2015/05/dupont.jpg?quality=80&w=462&h=260&crop=1,http://www.dupont.com,DE
88,American Express,AXP,Commercial Banks,Financials,"New York, NY",21,Kenneth I. Chenault,5.56,54000,35999,5885,https://fortunedotcom.files.wordpress.com/2015/05/469847512.jpg?quality=80&w=840&h=485&crop=1,http://www.americanexpress.com,NY
89,Allstate,ALL,Insurance: Property and Casualty (Stock),Financials,"Northbrook, IL",20,Thomas J. Wilson,6.27,39950,35239,2850,https://fortunedotcom.files.wordpress.com/2015/05/allstate.jpg?quality=80&w=462&h=263&crop=1,http://www.allstate.com,IL
90,Cigna,CI,Health Care: Insurance and Managed Care,Health Care,"Bloomfield, CT",21,David M. Cordani,7.83,37200,34914,2102,https://fortunedotcom.files.wordpress.com/2015/06/cigna.jpg?quality=80&w=462&h=263&crop=1,http://www.cigna.com,CT
91,Mondelez International,MDLZ,Food Consumer Products,"Food, Beverages & Tobacco","Deerfield, IL",8,Irene B. Rosenfeld,1.28,104000,34244,2184,https://fortunedotcom.files.wordpress.com/2015/05/mondelez-international.jpg?quality=80&w=462&h=260&crop=1,http://www.mondelezinternational.com,IL
92,TIAA-CREF,TIAA-CREF,"Insurance: Life, Health (Mutual)",Financials,"New York, NY",18,Roger W. Ferguson Jr.,-,12322,34230,967,https://fortunedotcom.files.wordpress.com/2015/05/tiaa-cref.jpg?quality=80&w=462&h=260&crop=1,http://www.tiaa-cref.org,NY
93,INTL FCStone,INTL,Diversified Financials,Financials,"New York, NY",7,Sean M. O'Connor,0.98,1141,34063,19,https://fortunedotcom.files.wordpress.com/2015/06/intl-fcstone.jpg?quality=80&w=462&h=263&crop=1,http://www.intlfcstone.com,NY
94,Massachusetts Mutual Life Insurance,MASSACHUSETTS-MUTUAL-LIFE,"Insurance: Life, Health (Mutual)",Financials,"Springfield, MA",21,Roger W. Crandall,-,11418,33572,1327,https://fortunedotcom.files.wordpress.com/2015/05/mass-mutual_massmutual.jpg?quality=80&w=462&h=260&crop=1,http://www.massmutual.com,MA
95,DirecTV,DTV,Telecommunications,Telecommunications,"El Segundo, CA",11,Michael D. White,5.4,30925,33260,2756,https://fortunedotcom.files.wordpress.com/2015/05/directv.jpg?quality=80&w=462&h=263&crop=1,http://www.directv.com,CA
96,Halliburton,HAL,"Oil and Gas Equipment, Services",Energy,"Houston, TX",21,David J. Lesar,4.11,80000,32870,3500,https://fortunedotcom.files.wordpress.com/2015/05/halliburton.jpg?quality=80&w=462&h=263&crop=1,http://www.halliburton.com,TX
97,Twenty-First Century Fox,FOXA,Entertainment,Media,"New York, NY",11,James R. Murdoch,1.99,27000,31867,4514,https://fortunedotcom.files.wordpress.com/2015/05/famguy__simpsons-guy_comiccon2014_r13r_hires2.jpg?quality=80&w=840&h=485&crop=1,http://www.21cf.com,NY
98,3M,MMM,zMiscellaneous,Household Products,"St. Paul, MN",21,Inge G. Thulin,7.49,89800,31821,4956,https://fortunedotcom.files.wordpress.com/2015/05/3m.jpg?quality=80&w=462&h=260&crop=1,http://www.3m.com,MN
99,Sears Holdings,SHLD,General Merchandisers,Retailing,"Hoffman Estates, IL",21,Edward S. Lampert,-15.82,196000,31198,-1682,https://fortunedotcom.files.wordpress.com/2015/05/sears.jpg?quality=80&w=462&h=263&crop=1,http://www.searsholdings.com,IL
100,General Dynamics,GD,Aerospace and Defense,Aerospace & Defense,"Falls Church, VA",21,Phebe N. Novakovic,7.42,99500,30852,2533,https://fortunedotcom.files.wordpress.com/2015/06/general-dynamics.jpg?quality=80&w=462&h=263&crop=1,http://www.generaldynamics.com,VA
101,Publix Super Markets,PUBLIX-SUPER-MARKETS,Food and Drug Stores,Food & Drug Stores,"Lakeland, FL",21,William E. Crenshaw,2.23,175000,30803,1735,https://fortunedotcom.files.wordpress.com/2015/05/publix.jpg?quality=80&w=462&h=260&crop=1,http://www.publix.com,FL
102,Philip Morris International,PM,Tobacco,"Food, Beverages & Tobacco","New York, NY",7,Andr_ Calantzopoulos,4.76,82500,29767,7493,https://fortunedotcom.files.wordpress.com/2015/05/philip-morris.jpg?quality=80&w=462&h=260&crop=1,http://www.pmi.com,NY
